Location,Other Location Details,Full Location Details,Size,Bedrooms,Bathrooms,Property Type,Purchase Type,Price,Site
Gigiri,Westlands,"Gigiri,Westlands",None,4,4,House,Rent,"KSh 250,000
 / month",buyrentkenya
Mandera Roaad,"Dik Dik Court, Kileleshwa","Mandera Roaad,Dik Dik Court, Kileleshwa",405 m²,5,6,House,Rent,"KSh 500,000
 / month",buyrentkenya
Karen,Karen,"Karen,Karen",None,2,2,House,Rent,"KSh 160,000
 / month",buyrentkenya
Runda,"Runda, Runda, Westlands","Runda,Runda, Runda, Westlands",500 m²,7,7,House,Rent,"KSh 1,200,000
 / month",buyrentkenya
Runda,"Runda, Runda, Westlands","Runda,Runda, Runda, Westlands",None,5,5,House,Rent,"KSh 550,000
 / month",buyrentkenya
Old Runda,Kiambu Road,"Old Runda,Kiambu Road",100 m²,2,2,House,Rent,"KSh 100,000
 / month",buyrentkenya
Lavington,Lavington,"Lavington,Lavington",None,1,1,House,Rent,"KSh 100,000
 / month",buyrentkenya
Runda,Westlands,"Runda,Westlands",None,2,2,House,Rent,"KSh 1,500
 / month",buyrentkenya
Runda,Westlands,"Runda,Westlands",None,5,4,House,Rent,"KSh 2,500
 / month",buyrentkenya
Runda,Westlands,"Runda,Westlands",None,4,4,House,Rent,"KSh 200,000
 / month",buyrentkenya
Ridgeway road,Ridgeways,"Ridgeway road,Ridgeways",None,4,5,House,Rent,"KSh 280,000
 / month",buyrentkenya
Eliud Mathu,"Runda, Westlands","Eliud Mathu,Runda, Westlands",300 m²,5,,House,Rent,"KSh 3,000
 / month",buyrentkenya
Nyari,Westlands,"Nyari,Westlands",250 m²,5,5,House,Rent,"KSh 4,500
 / month",buyrentkenya
Runda,Westlands,"Runda,Westlands",None,5,5,House,Rent,"KSh 2,600
 / month",buyrentkenya
Runda,Westlands,"Runda,Westlands",None,4,4,House,Rent,"KSh 480,000
 / month",buyrentkenya
Runda,Westlands,"Runda,Westlands",None,5,5,House,Rent,"KSh 4,000
 / month",buyrentkenya
Lavington,Lavington,"Lavington,Lavington",None,5,6,House,Rent,"KSh 350,000
 / month",buyrentkenya
Runda,Westlands,"Runda,Westlands",None,5,5,House,Rent,"KSh 290,000
 / month",buyrentkenya
Lavington,Lavington,"Lavington,Lavington",None,4,4,House,Rent,"KSh 300,000
 / month",buyrentkenya
Westlands Area,Westlands,"Westlands Area,Westlands",None,3,3,House,Rent,"KSh 280,000
 / month",buyrentkenya
Lavington,Lavington,"Lavington,Lavington",None,4,4,House,Rent,"KSh 200,000
 / month",buyrentkenya
Rosslyn,Westlands,"Rosslyn,Westlands",None,2,2,House,Rent,"KSh 350,000
 / month",buyrentkenya
convent drive,Lavington,"convent drive,Lavington",None,5,5,House,Rent,"KSh 300,000
 / month",buyrentkenya
Kitisuru,Westlands,"Kitisuru,Westlands",None,3,3,House,Rent,"KSh 500,000
 / month",buyrentkenya
Nyari,Westlands,"Nyari,Westlands",None,6,6,House,Rent,"KSh 4,000
 / month",buyrentkenya
Rosslyn,Westlands,"Rosslyn,Westlands",None,4,4,House,Rent,"KSh 400,000
 / month",buyrentkenya
karbaserian,Lavington,"karbaserian,Lavington",None,5,5,House,Rent,"KSh 400,000
 / month",buyrentkenya
Lavington,Lavington,"Lavington,Lavington",None,5,5,House,Rent,"KSh 300,000
 / month",buyrentkenya
Nyari south,"Nyari, Westlands","Nyari south,Nyari, Westlands",None,5,5,House,Rent,"KSh 450,000
 / month",buyrentkenya
Gitanga road,Lavington,"Gitanga road,Lavington",None,4,4,House,Rent,"KSh 200,000
 / month",buyrentkenya
kaputei gardens,Lavington,"kaputei gardens,Lavington",None,5,5,House,Rent,"KSh 350,000
 / month",buyrentkenya
Loresho,Westlands,"Loresho,Westlands",None,5,5,House,Rent,"KSh 650,000
 / month",buyrentkenya
Kyuna,Westlands,"Kyuna,Westlands",1 ac,6,5,House,Rent,"KSh 500,000
 / month",buyrentkenya
Lavington,Lavington,"Lavington,Lavington",None,5,5,House,Rent,"KSh 380,000
 / month",buyrentkenya
Lower Kabete Rd,"Westlands Area, Westlands","Lower Kabete Rd,Westlands Area, Westlands",None,5,5,House,Rent,"KSh 1,300,000
 / month",buyrentkenya
kirawa road,"Kitisuru, Westlands","kirawa road,Kitisuru, Westlands",None,4,4,House,Rent,"KSh 380,000
 / month",buyrentkenya
lower kabete,"Lower Kabete, Westlands","lower kabete,Lower Kabete, Westlands",None,5,5,House,Rent,"KSh 600,000
 / month",buyrentkenya
Oldonyo,"Spring Valley, Westlands","Oldonyo,Spring Valley, Westlands",None,5,5,House,Rent,"KSh 290,000
 / month",buyrentkenya
chalbi drive,Lavington,"chalbi drive,Lavington",None,4,4,House,Rent,"KSh 250,000
 / month",buyrentkenya
Owashika Road,Lavington,"Owashika Road,Lavington",None,5,5,House,Rent,"KSh 350,000
 / month",buyrentkenya
James Gichuru,Lavington,"James Gichuru,Lavington",None,3,3,House,Rent,"KSh 230,000
 / month",buyrentkenya
Eldama Ravine Road,"Spring Valley, Westlands","Eldama Ravine Road,Spring Valley, Westlands",None,4,4,House,Rent,"KSh 310,000
 / month",buyrentkenya
Lavington,Lavington,"Lavington,Lavington",None,5,5,House,Rent,"KSh 350,000
 / month",buyrentkenya
Convent Drive,Lavington,"Convent Drive,Lavington",None,5,5,House,Rent,"KSh 330,000
 / month",buyrentkenya
Issac Gathanju,Lavington,"Issac Gathanju,Lavington",None,5,5,House,Rent,"KSh 420,000
 / month",buyrentkenya
Lavington,Lavington,"Lavington,Lavington",None,5,5,House,Rent,"KSh 300,000
 / month",buyrentkenya
Runda,Westlands,"Runda,Westlands",None,4,4,House,Rent,"KSh 450,000
 / month",buyrentkenya
lower kabete road,"Lower Kabete, Westlands","lower kabete road,Lower Kabete, Westlands",None,5,5,House,Rent,"KSh 750,000
 / month",buyrentkenya
Runda,Westlands,"Runda,Westlands",None,5,5,House,Rent,"KSh 3,800
 / month",buyrentkenya
Loresho,Westlands,"Loresho,Westlands",None,4,4,House,Rent,"KSh 4,000
 / month",buyrentkenya
Nyari,Westlands,"Nyari,Westlands",None,5,5,House,Rent,"KSh 6,000
 / month",buyrentkenya
Eden Ville Estate,Kiambu Road,"Eden Ville Estate,Kiambu Road",1800 ft²,4,3,House,Rent,"KSh 140,000
 / month",buyrentkenya
Along Kiambu Road next to Former Kigwa Conference hotel,Kiambu Road,"Along Kiambu Road next to Former Kigwa Conference hotel,Kiambu Road",260 m²,4,4,House,Rent,"KSh 200,000
 / month",buyrentkenya
Gigiri,Westlands,"Gigiri,Westlands",10000 ft²,10,10,House,Rent,"KSh 1,350,000
 / month",buyrentkenya
Lower Kabete,Westlands,"Lower Kabete,Westlands",None,5,5,House,Rent,"KSh 650,000
 / month",buyrentkenya
Runda,Westlands,"Runda,Westlands",None,6,6,House,Rent,"KSh 550,000
 / month",buyrentkenya
Glory Drive,"Runda, Runda, Westlands","Glory Drive,Runda, Runda, Westlands",None,4,4,House,Rent,"KSh 350,000
 / month",buyrentkenya
Gitanga road,Lavington,"Gitanga road,Lavington",None,4,3,House,Rent,"KSh 120,000
 / month",buyrentkenya
Parklands,Westlands,"Parklands,Westlands",None,4,3,House,Rent,"KSh 110,000
 / month",buyrentkenya
Gigiri,Westlands,"Gigiri,Westlands",400 m²,3,3,House,Rent,"KSh 3,500
 / month",buyrentkenya
Kitisuru,Westlands,"Kitisuru,Westlands",1012 m²,4,4,House,Rent,"KSh 375,000
 / month",buyrentkenya
Nyali Area,Nyali,"Nyali Area,Nyali",None,3,,House,Rent,"KSh 15,000
 / month",buyrentkenya
Along the Northern Bypass After Windsor Roundabout,"Thome, Roysambu","Along the Northern Bypass After Windsor Roundabout,Thome, Roysambu",None,5,5,House,Rent,"KSh 150,000
 / month",buyrentkenya
Lower Kabete,Westlands,"Lower Kabete,Westlands",350 m²,5,5,House,Rent,"KSh 350,000
 / month",buyrentkenya
Spring Valley,Westlands,"Spring Valley,Westlands",None,4,4,House,Rent,"KSh 250,000
 / month",buyrentkenya
Spring Valley,Westlands,"Spring Valley,Westlands",None,5,5,House,Rent,"KSh 500,000
 / month",buyrentkenya
Nyali Area,Nyali,"Nyali Area,Nyali",None,5,5,House,Rent,"KSh 20,000
 / month",buyrentkenya
e,"Eden Ville Estate, Kiambu Road","e,Eden Ville Estate, Kiambu Road",None,3,3,House,Rent,"KSh 130,000
 / month",buyrentkenya
Fourways Junction Estate,Kiambu Road,"Fourways Junction Estate,Kiambu Road",None,3,2,House,Rent,"KSh 108,000
 / month",buyrentkenya
Eden Ville Phase 2,Kiambu Road,"Eden Ville Phase 2,Kiambu Road",None,4,3,House,Rent,"KSh 150,000
 / month",buyrentkenya
Off Paradise Lost Road,Kiambu Road,"Off Paradise Lost Road,Kiambu Road",None,4,4,House,Rent,"KSh 170,000
 / month",buyrentkenya
Vipingo,Vipingo,"Vipingo,Vipingo",None,3,None,House,Rent,"KSh 22,500
 / month",buyrentkenya
Peponi Road,"Westlands Area, Westlands","Peponi Road,Westlands Area, Westlands",None,4,5,House,Rent,"KSh 250,000
 / month",buyrentkenya
Shimba road,"Nyali Area, Nyali","Shimba road,Nyali Area, Nyali",None,1,1,House,Rent,"KSh 60,000
 / month",buyrentkenya
Nyali Area,Nyali,"Nyali Area,Nyali",None,5,5,House,Rent,"KSh 180,000
 / month",buyrentkenya
Fourways Junction Estate,Kiambu Road,"Fourways Junction Estate,Kiambu Road",205 m²,4,3,House,Rent,"KSh 180,000
 / month",buyrentkenya
Kiambu Road,Kiambu Road,"Kiambu Road,Kiambu Road",146 m²,3,2,House,Rent,"KSh 118,000
 / month",buyrentkenya
Westlands Area,Westlands,"Westlands Area,Westlands",None,3,3,Apartment,Rent,"KSh 300,000
 / month",buyrentkenya
kabiria,Dagoretti Corner,"kabiria,Dagoretti Corner",None,1,1,Apartment,Rent,"KSh 17,000
 / month",buyrentkenya
Kilimani,Kilimani,"Kilimani,Kilimani",None,2,,Apartment,Rent,"KSh 285,000
 / month",buyrentkenya
Kileleshwa,Kileleshwa,"Kileleshwa,Kileleshwa",None,2,2,Apartment,Rent,"KSh 100,000
 / month",buyrentkenya
Raphta rd westland,"Westlands Area, Westlands","Raphta rd westland,Westlands Area, Westlands",None,3,4,Apartment,Rent,"KSh 130,000
 / month",buyrentkenya
Kilimani,Kilimani,"Kilimani,Kilimani",None,2,3,Apartment,Rent,"KSh 95,000
 / month",buyrentkenya
Lavington,Lavington,"Lavington,Lavington",None,1,1,Apartment,Rent,"KSh 135,000
 / month",buyrentkenya
Kilimani,Kilimani,"Kilimani,Kilimani",None,3,4,Apartment,Rent,"KSh 90,000
 / month",buyrentkenya
kilimani,Kilimani,"kilimani,Kilimani",None,3,4,Apartment,Rent,"KSh 350,000
 / month",buyrentkenya
westlands,"Westlands Area, Westlands","westlands,Westlands Area, Westlands",None,1,2,Apartment,Rent,"KSh 300,000
 / month",buyrentkenya
westlands,"Westlands Area, Westlands","westlands,Westlands Area, Westlands",None,3,4,Apartment,Rent,"KSh 360,000
 / month",buyrentkenya
westlands,"Westlands Area, Westlands","westlands,Westlands Area, Westlands",None,3,4,Apartment,Rent,"KSh 420,000
 / month",buyrentkenya
Kilimani,Kilimani,"Kilimani,Kilimani",None,2,2,Apartment,Rent,"KSh 100,000
 / month",buyrentkenya
westlands,"Westlands Area, Westlands","westlands,Westlands Area, Westlands",None,2,3,Apartment,Rent,"KSh 250,000
 / month",buyrentkenya
Dennis Pritt,Kilimani,"Dennis Pritt,Kilimani",136 m²,2,2,Apartment,Rent,"KSh 200,000
 / month",buyrentkenya
Kileleshwa,Kileleshwa,"Kileleshwa,Kileleshwa",None,4,,Apartment,Rent,"KSh 140,000
 / month",buyrentkenya
westlands,"Westlands Area, Westlands","westlands,Westlands Area, Westlands",None,3,4,Apartment,Rent,"KSh 350,000
 / month",buyrentkenya
kileleshwa,Kileleshwa,"kileleshwa,Kileleshwa",None,3,4,Apartment,Rent,"KSh 220,000
 / month",buyrentkenya
Olekasasi,Ongata Rongai,"Olekasasi,Ongata Rongai",None,2,3,Apartment,Rent,"KSh 38,000
 / month",buyrentkenya
Nyari,Westlands,"Nyari,Westlands",None,1,1,Apartment,Rent,"KSh 160,000
 / month",buyrentkenya
Mirema Road,"Mirema, Roysambu","Mirema Road,Mirema, Roysambu",None,2,2,Apartment,Rent,"KSh 45,000
 / month",buyrentkenya
lavington,Lavington,"lavington,Lavington",None,4,5,Apartment,Rent,"KSh 350,000
 / month",buyrentkenya
mombasa road,Mombasa Road,"mombasa road,Mombasa Road",None,2,3,Apartment,Rent,"KSh 300,000
 / month",buyrentkenya
0725J,"Riverside Drive, Riverside, Westlands","0725J,Riverside Drive, Riverside, Westlands",2000 ft²,3,4,Apartment,Rent,"KSh 160,000
 / month",buyrentkenya
kileleshwa,Kileleshwa,"kileleshwa,Kileleshwa",None,4,5,Apartment,Rent,"KSh 250,000
 / month",buyrentkenya
kileleshwa,Kileleshwa,"kileleshwa,Kileleshwa",None,2,3,Apartment,Rent,"KSh 180,000
 / month",buyrentkenya
westlands,"Westlands Area, Westlands","westlands,Westlands Area, Westlands",None,2,3,Apartment,Rent,"KSh 250,000
 / month",buyrentkenya
westlands,"Westlands Area, Westlands","westlands,Westlands Area, Westlands",None,2,3,Apartment,Rent,None,buyrentkenya
Kilimani,Kilimani,"Kilimani,Kilimani",None,2,2,Apartment,Rent,"KSh 155,000
 / month",buyrentkenya
kileleshwa,Kileleshwa,"kileleshwa,Kileleshwa",None,3,4,Apartment,Rent,"KSh 200,000
 / month",buyrentkenya
westlands,"Westlands Area, Westlands","westlands,Westlands Area, Westlands",None,2,3,Apartment,Rent,"KSh 215,000
 / month",buyrentkenya
westlands,"Westlands Area, Westlands","westlands,Westlands Area, Westlands",None,2,3,Apartment,Rent,"KSh 160,000
 / month",buyrentkenya
riverside,"Riverside, Westlands","riverside,Riverside, Westlands",None,4,5,Apartment,Rent,None,buyrentkenya
Kilimani,Kilimani,"Kilimani,Kilimani",None,3,,Apartment,Rent,"KSh 160,000
 / month",buyrentkenya
Lavington,Lavington,"Lavington,Lavington",None,1,1,Apartment,Rent,"KSh 170,000
 / month",buyrentkenya
Kilimani,Kilimani,"Kilimani,Kilimani",None,3,4,Apartment,Rent,"KSh 160,000
 / month",buyrentkenya
Kilimani,Kilimani,"Kilimani,Kilimani",None,2,,Apartment,Rent,"KSh 200,000
 / month",buyrentkenya
Off Chiromo Road,"Riverside, Westlands","Off Chiromo Road,Riverside, Westlands",None,4,4,Apartment,Rent,"KSh 220,000
 / month",buyrentkenya
Rhapta rd,"Westlands Area, Westlands","Rhapta rd,Westlands Area, Westlands",138 m²,2,2,Apartment,Rent,"KSh 155,000
 / month",buyrentkenya
Kileleshwa,Kileleshwa,"Kileleshwa,Kileleshwa",None,1,,Apartment,Rent,"KSh 55,000
 / month",buyrentkenya
Kilimani,Kilimani,"Kilimani,Kilimani",220 m²,4,4,Apartment,Rent,"KSh 380,000
 / month",buyrentkenya
Kileleshwa,Kileleshwa,"Kileleshwa,Kileleshwa",None,3,4,Apartment,Rent,"KSh 380,000
 / month",buyrentkenya
Kilimani,Kilimani,"Kilimani,Kilimani",None,1,1,Apartment,Rent,"KSh 140,000
 / month",buyrentkenya
Kileleshwa,Kileleshwa,"Kileleshwa,Kileleshwa",None,2,2,Apartment,Rent,"KSh 95,000
 / month",buyrentkenya
Brookside,Westlands,"Brookside,Westlands",165 m²,3,3,Apartment,Rent,"KSh 310,000
 / month",buyrentkenya
Kileleshwa,Kileleshwa,"Kileleshwa,Kileleshwa",None,1,1,Apartment,Rent,"KSh 70,000
 / month",buyrentkenya
Off Riverside Drive,"Riverside, Westlands","Off Riverside Drive,Riverside, Westlands",280 m²,3,4,Apartment,Rent,"KSh 160,000
 / month",buyrentkenya
Kilimani,Kilimani,"Kilimani,Kilimani",None,3,4,Apartment,Rent,"KSh 220,000
 / month",buyrentkenya
Peponi road,"Westlands Area, Westlands","Peponi road,Westlands Area, Westlands",None,2,2,Apartment,Rent,"KSh 120,000
 / month",buyrentkenya
Lavington,Lavington,"Lavington,Lavington",None,2,,Apartment,Rent,"KSh 130,000
 / month",buyrentkenya
Kilimani,Kilimani,"Kilimani,Kilimani",None,2,2,Apartment,Rent,"KSh 200,000
 / month",buyrentkenya
Nyali Area,Nyali,"Nyali Area,Nyali",None,3,4,Apartment,Rent,"KSh 340,000
 / month",buyrentkenya
Kilimani,Kilimani,"Kilimani,Kilimani",None,2,,Apartment,Rent,"KSh 85,000
 / month",buyrentkenya
Lavington,Lavington,"Lavington,Lavington",None,3,,Apartment,Rent,"KSh 160,000
 / month",buyrentkenya
Parklands,Westlands,"Parklands,Westlands",None,3,3,Apartment,Rent,"KSh 160,000
 / month",buyrentkenya
7,"Flame Tree Drive, Runda, Westlands","7,Flame Tree Drive, Runda, Westlands",2023 m²,3,2,Apartment,Rent,"KSh 170,000
 / month",buyrentkenya
Brookside drive,"Westlands Area, Westlands","Brookside drive,Westlands Area, Westlands",136 m²,2,3,Apartment,Rent,"KSh 320,000
 / month",buyrentkenya
Kilimani,Kilimani,"Kilimani,Kilimani",None,0,1,Apartment,Rent,"KSh 145,000
 / month",buyrentkenya
Brookside,Westlands,"Brookside,Westlands",110 m²,2,2,Apartment,Rent,"KSh 315,000
 / month",buyrentkenya
Kilimani,Kilimani,"Kilimani,Kilimani",None,2,2,Apartment,Rent,"KSh 200,000
 / month",buyrentkenya
Gatundu road,Kileleshwa,"Gatundu road,Kileleshwa",None,1,1,Apartment,Rent,"KSh 80,000
 / month",buyrentkenya
RAPTOR ROAD,"Westlands Area, Westlands","RAPTOR ROAD,Westlands Area, Westlands",None,2,2,Apartment,Rent,"KSh 100,000
 / month",buyrentkenya
Runda,Westlands,"Runda,Westlands",None,4,4,Apartment,Rent,"KSh 450,000
 / month",buyrentkenya
Riverside Drive,"Riverside, Westlands","Riverside Drive,Riverside, Westlands",None,3,3,Apartment,Rent,"KSh 160,000
 / month",buyrentkenya
Parklands,Westlands,"Parklands,Westlands",None,4,5,Apartment,Rent,"KSh 150,000
 / month",buyrentkenya
Kilimani,Kilimani,"Kilimani,Kilimani",None,1,1,Apartment,Rent,"KSh 45,000
 / month",buyrentkenya
Kileleshwa,Kileleshwa,"Kileleshwa,Kileleshwa",None,1,1,Apartment,Rent,"KSh 70,000
 / month",buyrentkenya
Muthiga,"Waiyaki way, Kinoo, Kikuyu","Muthiga,Waiyaki way, Kinoo, Kikuyu",430 ft²,1,1,Apartment,Rent,"KSh 27,000
 / month",buyrentkenya
wood avenue,Kilimani,"wood avenue,Kilimani",None,0,,Apartment,Rent,"KSh 50,000
 / month",buyrentkenya
Riverside,Westlands,"Riverside,Westlands",None,2,3,Apartment,Rent,"KSh 120,000
 / month",buyrentkenya
Parklands,Westlands,"Parklands,Westlands",None,3,2,Apartment,Rent,"KSh 135,000
 / month",buyrentkenya
Parklands,Westlands,"Parklands,Westlands",None,2,2,Apartment,Rent,"KSh 110,000
 / month",buyrentkenya
Elgeyo marakwet,"Muringa road, Perry west, Kilimani","Elgeyo marakwet,Muringa road, Perry west, Kilimani",None,2,2,Apartment,Rent,"KSh 200,000
 / month",buyrentkenya
Lavington,Lavington,"Lavington,Lavington",None,2,2,Apartment,Rent,"KSh 200,000
 / month",buyrentkenya
Kitale Lane,"Dennis Pritt Rd, Kilimani","Kitale Lane,Dennis Pritt Rd, Kilimani",140 m²,2,3,Apartment,Rent,"KSh 285,000
 / month",buyrentkenya
Rhapta rd,"Westlands Area, Westlands","Rhapta rd,Westlands Area, Westlands",270 m²,3,3,Apartment,Rent,"KSh 350,000
 / month",buyrentkenya
General Mathenge,"Westlands Area, Westlands","General Mathenge,Westlands Area, Westlands",None,2,2,Apartment,Rent,"KSh 250,000
 / month",buyrentkenya
Kileleshwa,Kileleshwa,"Kileleshwa,Kileleshwa",None,3,,Apartment,Rent,"KSh 110,000
 / month",buyrentkenya
Westlands Area,Westlands,"Westlands Area,Westlands",None,2,2,Apartment,Rent,"KSh 100,000
 / month",buyrentkenya
Brookside,Westlands,"Brookside,Westlands",None,3,2,Apartment,Rent,"KSh 75,000
 / month",buyrentkenya
Westlands,Westlands Area,"Westlands,Westlands Area",None,1,1,Apartment,Rent,"KSh 160,000
 / month",buyrentkenya
Mombasa Road,Mombasa Road,"Mombasa Road,Mombasa Road",None,1,1,Apartment,Rent,"KSh 80,000
 / month",buyrentkenya
westlands,"Westlands Area, Westlands","westlands,Westlands Area, Westlands",None,2,3,Apartment,Rent,"KSh 290,000
 / month",buyrentkenya
westlands,"Westlands Area, Westlands","westlands,Westlands Area, Westlands",None,2,3,Apartment,Rent,"KSh 250,000
 / month",buyrentkenya
brookside,"Westlands Area, Westlands","brookside,Westlands Area, Westlands",None,2,3,Apartment,Rent,"KSh 300,000
 / month",buyrentkenya
kileleshwa,Kileleshwa,"kileleshwa,Kileleshwa",None,4,5,Apartment,Rent,"KSh 300,000
 / month",buyrentkenya
riverside,"Riverside, Westlands","riverside,Riverside, Westlands",None,4,5,Apartment,Rent,"KSh 330,000
 / month",buyrentkenya
spring valley,"Spring Valley, Westlands","spring valley,Spring Valley, Westlands",None,2,3,Apartment,Rent,"KSh 280,000
 / month",buyrentkenya
Parklands,Westlands,"Parklands,Westlands",None,5,6,Apartment,Rent,"KSh 180,000
 / month",buyrentkenya
Westlands Area,Westlands,"Westlands Area,Westlands",None,3,3,Apartment,Rent,"KSh 160,000
 / month",buyrentkenya
Kilimani,Kilimani,"Kilimani,Kilimani",None,2,2,Apartment,Rent,"KSh 120,000
 / month",buyrentkenya
Kilimani,Kilimani,"Kilimani,Kilimani",140 m²,2,2,Apartment,Rent,"KSh 285,000
 / month",buyrentkenya
Westlands Area,Westlands,"Westlands Area,Westlands",None,3,3,Apartment,Rent,"KSh 280,000
 / month",buyrentkenya
Westlands Area,Westlands,"Westlands Area,Westlands",None,2,2,Apartment,Rent,"KSh 300,000
 / month",buyrentkenya
Westlands Area,Westlands,"Westlands Area,Westlands",None,2,2,Apartment,Rent,"KSh 280,000
 / month",buyrentkenya
Kilimani,Kilimani,"Kilimani,Kilimani",None,2,3,Apartment,Rent,"KSh 85,000
 / month",buyrentkenya
Westlands Area,Westlands,"Westlands Area,Westlands",None,2,2,Apartment,Rent,"KSh 150,000
 / month",buyrentkenya
Westlands Area,Westlands,"Westlands Area,Westlands",None,2,2,Apartment,Rent,"KSh 250,000
 / month",buyrentkenya
Riverside,Westlands,"Riverside,Westlands",325 m²,4,4,Apartment,Rent,"KSh 360,000
 / month",buyrentkenya
Parklands,Westlands,"Parklands,Westlands",None,3,3,Apartment,Rent,"KSh 350,000
 / month",buyrentkenya
riverside,"Riverside, Westlands","riverside,Riverside, Westlands",None,2,3,Apartment,Rent,"KSh 120,000
 / month",buyrentkenya
kileleshwa,Kileleshwa,"kileleshwa,Kileleshwa",None,2,2,Apartment,Rent,"KSh 140,000
 / month",buyrentkenya
Parklands,Westlands,"Parklands,Westlands",None,2,2,Apartment,Rent,"KSh 250,000
 / month",buyrentkenya
kileleshwa,Kileleshwa,"kileleshwa,Kileleshwa",None,2,3,Apartment,Rent,"KSh 110,000
 / month",buyrentkenya
kileleshwa,Kileleshwa,"kileleshwa,Kileleshwa",None,3,4,Apartment,Rent,None,buyrentkenya
0724J,"Kileleshwa Estate., Kileleshwa","0724J,Kileleshwa Estate., Kileleshwa",1800 ft²,3,3,Apartment,Rent,"KSh 83,000
 / month",buyrentkenya
Kileleshwa,Kileleshwa,"Kileleshwa,Kileleshwa",None,1,1,Apartment,Rent,"KSh 70,000
 / month",buyrentkenya
Kileleshwa,Kileleshwa,"Kileleshwa,Kileleshwa",None,1,,Apartment,Rent,"KSh 65,000
 / month",buyrentkenya
Kilimani,Kilimani,"Kilimani,Kilimani",None,2,3,Apartment,Rent,"KSh 150,000
 / month",buyrentkenya
Kilimani,Kilimani,"Kilimani,Kilimani",110 m²,2,2,Apartment,Rent,"KSh 150,000
 / month",buyrentkenya
Westlands Area,Westlands,"Westlands Area,Westlands",None,3,3,Apartment,Rent,"KSh 130,000
 / month",buyrentkenya
Westlands Area,Westlands,"Westlands Area,Westlands",None,3,3,Apartment,Rent,"KSh 200,000
 / month",buyrentkenya
Westlands Area,Westlands,"Westlands Area,Westlands",None,2,2,Apartment,Rent,"KSh 230,000
 / month",buyrentkenya
Westlands Area,Westlands,"Westlands Area,Westlands",None,3,3,Apartment,Rent,"KSh 350,000
 / month",buyrentkenya
Westlands Area,Westlands,"Westlands Area,Westlands",None,3,3,Apartment,Rent,"KSh 175,000
 / month",buyrentkenya
Westlands Area,Westlands,"Westlands Area,Westlands",None,2,2,Apartment,Rent,"KSh 250,000
 / month",buyrentkenya
Westlands Area,Westlands,"Westlands Area,Westlands",None,3,3,Apartment,Rent,"KSh 270,000
 / month",buyrentkenya
Westlands Area,Westlands,"Westlands Area,Westlands",None,4,4,Apartment,Rent,"KSh 450,000
 / month",buyrentkenya
0724J,"Kileleshwa Estate., Kileleshwa","0724J,Kileleshwa Estate., Kileleshwa",1800 ft²,3,3,Apartment,Rent,"KSh 100,000
 / month",buyrentkenya
Westlands Area,Westlands,"Westlands Area,Westlands",None,1,1,Apartment,Rent,"KSh 180,000
 / month",buyrentkenya
Westlands Area,Westlands,"Westlands Area,Westlands",None,3,3,Apartment,Rent,"KSh 150,000
 / month",buyrentkenya
Westlands Area,Westlands,"Westlands Area,Westlands",None,2,2,Apartment,Rent,"KSh 160,000
 / month",buyrentkenya
kitisuru,"Westlands Area, Westlands","kitisuru,Westlands Area, Westlands",None,3,3,Apartment,Rent,"KSh 95,000
 / month",buyrentkenya
Lavington,Lavington,"Lavington,Lavington",None,1,1,Apartment,Rent,"KSh 65,000
 / month",buyrentkenya
Lavington,Lavington,"Lavington,Lavington",70 m²,1,1,Apartment,Rent,"KSh 125,000
 / month",buyrentkenya
Lavington,Lavington,"Lavington,Lavington",70 m²,1,1,Apartment,Rent,"KSh 125,000
 / month",buyrentkenya
1,"rosslyn, Rosslyn, Westlands","1,rosslyn, Rosslyn, Westlands",None,3,3,Apartment,Rent,"KSh 400,000
 / month",buyrentkenya
Westlands Area,Westlands,"Westlands Area,Westlands",None,1,1,Apartment,Rent,"KSh 70,000
 / month",buyrentkenya
Kilimani,Kilimani,"Kilimani,Kilimani",113 m²,2,3,Apartment,Rent,"KSh 250,000
 / month",buyrentkenya
Westlands,Westlands Area,"Westlands,Westlands Area",None,3,3,Apartment,Rent,"KSh 200,000
 / month",buyrentkenya
Westlands Area,Westlands,"Westlands Area,Westlands",90 m²,2,2,Apartment,Rent,"KSh 240,000
 / month",buyrentkenya
Kileleshwa,Kileleshwa,"Kileleshwa,Kileleshwa",None,0,1,Apartment,Rent,"KSh 55,000
 / month",buyrentkenya
westlands,"Westlands Area, Westlands","westlands,Westlands Area, Westlands",None,2,3,Apartment,Rent,"KSh 180,000
 / month",buyrentkenya
kileleshwa,Kileleshwa,"kileleshwa,Kileleshwa",None,2,3,Apartment,Rent,"KSh 150,000
 / month",buyrentkenya
kileleshwa,Kileleshwa,"kileleshwa,Kileleshwa",None,2,2,Apartment,Rent,"KSh 100,000
 / month",buyrentkenya
kilimani,Kilimani,"kilimani,Kilimani",None,2,3,Apartment,Rent,"KSh 160,000
 / month",buyrentkenya
westlands,"Westlands Area, Westlands","westlands,Westlands Area, Westlands",None,2,3,Apartment,Rent,"KSh 250,000
 / month",buyrentkenya
Westlands Area,Westlands,"Westlands Area,Westlands",None,1,1,Apartment,Rent,"KSh 110,000
 / month",buyrentkenya
Peponi Road,"Westlands Area, Westlands","Peponi Road,Westlands Area, Westlands",None,2,3,Apartment,Rent,"KSh 250,000
 / month",buyrentkenya
