Location,Other Location Details,Size,Bedrooms,Bathrooms,Price,Property Type,Purchase Type
Bamburi mtambo,Bamburi,None,2,2,"KSh 7,200,000",House,Sale
Nyali Mombasa,"Nyali Area, Nyali",None,4,6,"KSh 65,000,000",House,Sale
Mtwapa,Mtwapa,None,3,3,"KSh 8,500,000",House,Sale
acacia,Kitengela,None,3,2,"KSh 5,500,000",House,Sale
acacia,Kitengela,None,3,3,"KSh 8,000,000",House,Sale
acacia,Kitengela,None,3,4,"KSh 6,500,000",House,Sale
Gitanga Road,Lavington,None,4,,"KSh 24,000,000",House,Sale
Runda,Westlands,1856 m²,7,7,"KSh 240,000,000",House,Sale
Lamu,lamu,81 m²,4,,"KSh 25,000,002",House,Sale
Karen,Karen,None,4,,"KSh 80,000,000",House,Sale
Karen,Karen,None,4,,"KSh 73,000,000",House,Sale
Oloolua,Karen,None,6,7,"KSh 100,000,000",House,Sale
Daroda,Watamu,None,5,5,"KSh 420,000,000",House,Sale
Lavington,Lavington,None,4,7,"KSh 170,000,000",House,Sale
yukos,Kitengela,None,3,3,"KSh 8,500,000",House,Sale
Kiambu Road,Kiambu Road,240 m²,4,5,"KSh 25,000,000",House,Sale
Off Convent Drive,Lavington,425 m²,4,5,"KSh 70,000,000",House,Sale
Lavington,Lavington,None,4,2,"KSh 120,000,000",House,Sale
Chuna Estate,Kitengela,450 m²,4,5,"KSh 25,000,000",House,Sale
Karen,Karen,None,5,5,"KSh 130,000,000",House,Sale
Ruiru,Ruiru,450 m²,3,3,"KSh 7,000,000",House,Sale
Kitisuru Road,"Kitisuru, Westlands",None,5,5,"KSh 120,000,000",House,Sale
Runda,Westlands,None,5,6,"KSh 150,000,000",House,Sale
Court C,"Edenville Two, Kiambu Road",159 m²,3,2,"KSh 23,000,000",House,Sale
La-marina Estate,Mtwapa,1100 m²,3,4,"KSh 38,500,000",House,Sale
Miotoni,Karen,None,9,10,"KSh 400,000,000",House,Sale
Lavington,Lavington,250 ac,6,6,"KSh 87,000,000",House,Sale
Ruiru,Ruiru,3200 ft²,3,4,"KSh 9,700,000",House,Sale
Lavington,Lavington,None,4,5,"KSh 60,000,000",House,Sale
Lavington,Lavington,None,5,5,"KSh 55,000,000",House,Sale
Bofa road,Kilifi,2023 m²,3,2,"KSh 25,000,000",House,Sale
Machakos County,Machakos County,None,4,4,"KSh 22,500,000",House,Sale
Loresho,Westlands,None,4,5,"KSh 150,000,000",House,Sale
Thika Road,Thika Road,None,5,5,"KSh 60,000,000",House,Sale
2,"Off Runda Rd, Runda, Westlands",None,2,3,"KSh 63,000,000",House,Sale
Kiambu road,Kiambu Road,None,3,2,"KSh 35,000,000",House,Sale
Mombasa Road,Mombasa Road,None,4,5,"KSh 27,000,000",House,Sale
Redhill,Redhill,None,4,4,"KSh 35,000,000",House,Sale
Kitengela,Kitengela,450 m²,3,3,"KSh 8,500,000",House,Sale
Thika Road,Thika Road,None,4,5,"KSh 16,000,000",House,Sale
Spine Road,"Nairobi, Komarock",None,3,2,"KSh 18,500,000",House,Sale
Kitisuru,Westlands,None,4,4,"KSh 65,000,000",House,Sale
Ngong,Ngong,None,5,6,"KSh 16,500,000",House,Sale
Lavington,Lavington,None,4,,"KSh 80,000,000",House,Sale
Bamburi,Bamburi mtambo Mombasa,1972 ft²,4,3,"KSh 14,000,000",House,Sale
Ngong,Ngong,450 m²,3,3,"KSh 7,500,000",House,Sale
Kitengela,Kitengela,None,3,4,"KSh 13,000,000",House,Sale
Ngong,Ngong,450 m²,4,5,"KSh 18,000,000",House,Sale
Ngong,Ngong,450 m²,3,3,"KSh 7,500,000",House,Sale
Ngong,Ngong,450 m²,3,3,"KSh 9,500,000",House,Sale
Ngong,Ngong,450 m²,3,2,"KSh 6,000,000",House,Sale
Karen,Karen,None,5,5,"KSh 70,000,000",House,Sale
Lavington,Lavington,None,5,5,"KSh 82,000,000",House,Sale
MIOTONI,Karen,None,7,8,"KSh 500,000",House,Sale
Kiambu Road,Kiambu Road,None,4,4,"KSh 29,500,000",House,Sale
Lavington,Lavington,None,4,4,"KSh 25,000,000",House,Sale
Malindi,Malindi,None,4,4,"KSh 55,000,000",House,Sale
Ongata Rongai,Ongata Rongai,None,4,5,"KSh 15,000,000",House,Sale
Nyali Mombasa,"Nyali Area, Nyali",None,4,4,"KSh 28,000,000",House,Sale
Maziwa,"Lavington Green, Lavington",None,7,5,"KSh 128,000,000",House,Sale
Rosslyn,Westlands,550 m²,10,3,"KSh 128,000,000",House,Sale
Five Star Road,South C,None,4,4,"KSh 23,000,000",House,Sale
Ngong,Ngong,1800 m²,3,3,"KSh 7,500,000",House,Sale
Maziwa,"Lavington Green, Lavington",None,4,4,"KSh 130,000,000",House,Sale
Karen,Karen,None,4,5,"KSh 84,000,000",House,Sale
Lavington,Lavington,None,4,4,"KSh 66,000,000",House,Sale
O,"Parklands, Westlands",None,5,5,"KSh 4,000,000,000",House,Sale
Ngong,Ngong,None,3,3,"KSh 6,100,000",House,Sale
lavington,Lavington,None,5,6,"KSh 115,000,000",House,Sale
Runda,Westlands,2023 m²,6,6,"KSh 130,000,000",House,Sale
lavington,Lavington,None,4,5,"KSh 65,000,000",House,Sale
lavington,Lavington,None,5,6,"KSh 65,000,000",House,Sale
Karen,Karen,4200 ft²,5,6,"KSh 130,000,000",House,Sale
loresho,"Loresho, Westlands",None,5,6,"KSh 130,000,000",House,Sale
Karen,Karen,3500 ft²,4,5,"KSh 80,000,000",House,Sale
Karen,Karen,None,5,5,"KSh 99,000,000",House,Sale
Bongani road,Karen,None,5,5,"KSh 270,000,000",House,Sale
Lavington,Lavington,None,5,6,"KSh 55,000,000",House,Sale
Lavington,Lavington,None,5,6,"KSh 65,000,000",House,Sale
Ngong,Ngong,3000 ft²,3,4,"KSh 13,500,000",House,Sale
Juja,Juja,None,3,4,"KSh 8,500,000",House,Sale
Kirawa Rd,"Kitisuru, Westlands",None,4,4,"KSh 27,000,000",House,Sale
Membley,Ruiru,300 m²,4,4,"KSh 33,000,000",House,Sale
Nandi Road,Karen,None,5,5,"KSh 160,000,000",House,Sale
Kitengela,Kitengela,None,3,4,"KSh 8,000,000",House,Sale
Runda,Westlands,None,5,,"KSh 100,000,000",House,Sale
Kileleshwa,Kileleshwa,None,5,5,"KSh 89,000,000",House,Sale
Kitengela,Kitengela,None,3,4,"KSh 6,500,000",House,Sale
Juja farm road,"Juja kalimoni, Juja",None,4,4,"KSh 8,000,000",House,Sale
Matangi,"Ruiru matangi, Kamakis, Ruiru",None,3,4,"KSh 7,300,000",House,Sale
Garden Estate,Roysambu,None,5,6,"KSh 70,000,000",House,Sale
Kitisuru,Westlands,None,5,6,"KSh 120,000,000",House,Sale
Kamakis behind greenspot,"Greenspot road, Kamakis, Ruiru",None,4,4,"KSh 16,000,000",House,Sale
Greenspot road,"Kamakis, Ruiru",None,7,8,"KSh 19,000,000",House,Sale
Runda,Westlands,None,5,6,"KSh 150,000,000",House,Sale
Kileleshwa,Kileleshwa,None,5,7,"KSh 45,000,000",House,Sale
Ushirika road,Karen,None,4,4,"KSh 130,000,000",House,Sale
Langata,Langata,None,4,5,"KSh 40,000,000",House,Sale
Kiambu Road,Kiambu Road,None,4,5,"KSh 28,000,000",House,Sale
Kiserian,Kiserian,450 m²,3,3,"KSh 6,300,000",House,Sale
Kitengela,Kitengela,None,4,5,"KSh 17,000,000",House,Sale
Runda,Westlands,None,6,6,"KSh 300,000,000",House,Sale
Kitengela,Kitengela,None,3,4,"KSh 7,500,000",House,Sale
Runda,Westlands,None,4,4,"KSh 54,000,000",House,Sale
Runda,Westlands,None,5,5,"KSh 75,000,000",House,Sale
Westlands Area,Westlands,297 m²,3,4,"KSh 49,500,000",House,Sale
Runda,Westlands,None,6,7,"KSh 158,000,000",House,Sale
Kitengela,Kitengela,450 m²,3,2,"KSh 6,800,000",House,Sale
Kiambu Road,Kiambu Road,480 m²,4,5,"KSh 26,000,000",House,Sale
Lavington,Lavington,None,4,,"KSh 65,000,000",House,Sale
Lavington,Lavington,None,4,4,"KSh 50,000,000",House,Sale
Lavington,Lavington,None,3,3,"KSh 26,000,000",House,Sale
Lavington,Lavington,None,4,4,Price not communicated,House,Sale
Westlands Area,Westlands,None,4,4,"KSh 58,500,000",House,Sale
Brookside,Westlands,None,4,4,"KSh 50,000,000",House,Sale
Kitisuru,Westlands,None,5,7,"KSh 48,000,000",House,Sale
Westlands Area,Westlands,None,5,5,"KSh 40,000,000",House,Sale
Rhapta Road,Westlands,None,5,,"KSh 42,000,000",House,Sale
Rhapta Road,Westlands,None,4,,"KSh 38,000,000",House,Sale
Rhapta Road,Westlands,None,4,,"KSh 35,000,000",House,Sale
Westlands Area,Westlands,None,4,4,"KSh 35,000,000",House,Sale
Waiyaki Way,Westlands,None,4,3,"KSh 35,000,000",House,Sale
Kitisuru,Westlands,None,5,,Price not communicated,House,Sale
Runda,Westlands,None,4,4,"KSh 65,000,000",House,Sale
Runda,Westlands,None,7,7,"KSh 70,000,000",House,Sale
Runda,Westlands,None,4,5,"KSh 70,000,000",House,Sale
Karen,Karen,None,5,5,"KSh 108,000,000",House,Sale
Ngong,Ngong,1 ac,4,,"KSh 65,000,000",House,Sale
Karen,Karen,None,4,5,"KSh 80,000,000",House,Sale
Kilifi,Kilifi,None,10,10,"KSh 130,000,000",House,Sale
Karen,Karen,None,5,5,"KSh 135,000,000",House,Sale
two rivers,"Gigiri, Westlands",None,4,4,"KSh 45,000,000",House,Sale
Athi River,Athi River,None,3,3,"KSh 12,900,000",House,Sale
KIAMBU ROAD,Kiambu Road,None,3,4,"KSh 35,000,000",House,Sale
Lavington,Lavington,None,5,6,"KSh 95,000,000",House,Sale
Kilimani,Kilimani,None,3,3,"KSh 30,000,000",House,Sale
Athi River,Athi River,None,4,4,"KSh 15,500,000",House,Sale
Kileleshwa,Kileleshwa,None,5,4,"KSh 89,000,000",House,Sale
89,Lavington,None,5,6,"KSh 65,000,000",House,Sale
Karen,Karen,None,4,5,"KSh 75,000,000",House,Sale
Lavington,Lavington,None,4,5,"KSh 60,000,000",House,Sale
Nyali Area,Nyali,None,4,4,"KSh 25,000,000",House,Sale
0716J,Kiambu Road,3600 ft²,4,4,"KSh 32,000,000",House,Sale
