Location,Other Location Details,Size,Bedrooms,Bathrooms,Price,Property Type,Purchase Type
Lavington,Lavington,None,2,2,"KSh 8,700,000",Apartment,Sale
Kilimani,Kilimani,70 m²,1,1,"KSh 6,900,000",Apartment,Sale
Kileleshwa,Kileleshwa,367 m²,5,6,"KSh 41,000,000",Apartment,Sale
Lavington,Lavington,None,1,1,"KSh 5,600,000",Apartment,Sale
Lavington,Lavington,None,0,1,"KSh 4,000,000",Apartment,Sale
Kilimani,Kilimani,230 m²,4,5,"KSh 26,300,000",Apartment,Sale
Lavington,Lavington,112 m²,2,2,"KSh 13,500,000",Apartment,Sale
Kileleshwa,Kileleshwa,None,3,3,"KSh 14,000,000",Apartment,Sale
Westlands Area,Westlands,None,2,3,"KSh 12,600,000",Apartment,Sale
Kilimani,Kilimani,None,4,5,"KSh 19,100,000",Apartment,Sale
Kilimani,Kilimani,None,2,3,"KSh 12,600,000",Apartment,Sale
Citymall Nyali,"Nyali Area, Nyali",None,3,3,"KSh 15,000,000",Apartment,Sale
Westlands,Westlands Area,None,2,2,"KSh 13,000,000",Apartment,Sale
Mandera Road,Kileleshwa,None,3,3,"KSh 20,100,000",Apartment,Sale
Westlands Area,Westlands,None,1,1,"KSh 7,900,000",Apartment,Sale
Westlands Area,Westlands,None,2,2,"KSh 9,000,000",Apartment,Sale
Westlands Area,Westlands,None,3,3,"KSh 11,500,000",Apartment,Sale
Parklands,Westlands,3454 ft²,5,6,"KSh 27,000,000",Apartment,Sale
Kilimani,Kilimani,None,3,3,"KSh 11,000,000",Apartment,Sale
Kileleshwa,Kileleshwa,None,4,5,"KSh 20,000,000",Apartment,Sale
Kileleshwa,Kileleshwa,None,2,2,"KSh 7,500,000",Apartment,Sale
Kilimani,Kilimani,202 m²,3,4,"KSh 22,500,000",Apartment,Sale
Mombasa road,Syokimau,None,3,3,"KSh 8,000,000",Apartment,Sale
Mandera Road,Kileleshwa,None,4,4,"KSh 22,800,000",Apartment,Sale
Othaya Road,Kileleshwa,None,2,2,"KSh 12,000,000",Apartment,Sale
Riverside Drive,"Riverside, Westlands",None,1,1,"KSh 6,800,000",Apartment,Sale
Fourways Junction Estate,Kiambu Road,80 m²,2,2,"KSh 12,000,000",Apartment,Sale
Kilimani,Kilimani,None,2,,"KSh 15,500,000",Apartment,Sale
Lavington,Lavington,None,0,,Price not communicated,Apartment,Sale
Kilimani,Kilimani,None,0,,Price not communicated,Apartment,Sale
Kilimani,Kilimani,None,2,2,Price not communicated,Apartment,Sale
Westlands Area,Westlands,None,1,1,"KSh 5,500,000",Apartment,Sale
Kilimani,Kilimani,None,2,2,"KSh 6,800,000",Apartment,Sale
Kilimani,Kilimani,None,1,1,"KSh 4,300,000",Apartment,Sale
Kilimani,Kilimani,None,2,2,"KSh 10,500,000",Apartment,Sale
Kileleshwa,Kileleshwa,None,2,2,"KSh 11,000,000",Apartment,Sale
Ruaka,Ruaka,68 m²,1,1,"KSh 5,500,000",Apartment,Sale
Kilimani,Kilimani,None,2,2,"KSh 13,000,000",Apartment,Sale
Westlands Area,Westlands,None,1,1,"KSh 9,000,000",Apartment,Sale
Westlands Area,Westlands,None,1,1,"KSh 9,000,000",Apartment,Sale
Westlands Area,Westlands,238 m²,3,3,"KSh 37,000,000",Apartment,Sale
Kilimani,Kilimani,230 m²,4,5,None,Apartment,Sale
Mwananchi rd,Syokimau,None,3,3,"KSh 11,000,000",Apartment,Sale
Ngong Road,Ngong Road,None,0,1,"KSh 1,900,000",Apartment,Sale
Kilimani,Kilimani,None,1,2,"KSh 5,836,000",Apartment,Sale
Gitanga road,Lavington,None,1,1,"KSh 6,000,000",Apartment,Sale
Church Road,"Westlands Area, Westlands",None,1,1,"KSh 6,700,000",Apartment,Sale
Westlands Road,"Westlands Area, Westlands",None,1,1,"KSh 6,950,000",Apartment,Sale
Kilimani,Kilimani,55 m²,1,2,"KSh 5,900,000",Apartment,Sale
Kiambu Road,Thindigua,93 m²,2,2,"KSh 8,200,000",Apartment,Sale
Kilimani,Kilimani,172 m²,3,,"KSh 18,100,000",Apartment,Sale
Westlands Area,Westlands,None,1,1,"KSh 6,000,000",Apartment,Sale
Westlands Area,Westlands,None,2,2,"KSh 9,000,000",Apartment,Sale
Westlands Area,Westlands,None,2,2,"KSh 10,500,000",Apartment,Sale
Westlands Area,Westlands,None,1,1,"KSh 5,500,000",Apartment,Sale
Kilimani,Kilimani,None,2,1,"KSh 6,800,000",Apartment,Sale
Kilimani,Kilimani,None,2,2,"KSh 7,000,000",Apartment,Sale
0628n,"kileleshwa, Kileleshwa",1614 ft²,3,3,"KSh 15,000,000",Apartment,Sale
Riverside,Westlands,None,3,4,"KSh 14,500,000",Apartment,Sale
Brookside,"Westlands Area, Westlands",None,3,3,"KSh 24,500,000",Apartment,Sale
Riverside,Westlands,None,2,3,"KSh 12,500,000",Apartment,Sale
0619n,Kileleshwa,3499 ft²,2,2,"KSh 10,900,000",Apartment,Sale
ojijo,"Westlands Area, Westlands",None,2,2,"KSh 15,500,000",Apartment,Sale
Othaya Rd,Kileleshwa,121 m²,2,2,"KSh 12,000,000",Apartment,Sale
Padmore road,Kilimani,None,2,2,"KSh 10,500,000",Apartment,Sale
Kiambere rd,Upper Hill,None,3,4,"KSh 25,000,000",Apartment,Sale
0628n,Kileleshwa,1800 m²,3,3,"KSh 17,000,000",Apartment,Sale
Ruiru,Ruiru,38 m²,1,1,"KSh 3,650,000",Apartment,Sale
Race course,Ngong Road,None,2,2,"KSh 8,500,000",Apartment,Sale
Kileleshwa,Kileleshwa,None,4,5,"KSh 20,000,000",Apartment,Sale
Westlands Area,Westlands,None,3,3,"KSh 24,000,000",Apartment,Sale
Syokimau,Syokimau,44 m²,0,,"KSh 4,000,000",Apartment,Sale
Kilimani,Kilimani,None,4,5,"KSh 13,000,000",Apartment,Sale
Lavington,Lavington,None,3,3,"KSh 11,000,000",Apartment,Sale
Lavington,Lavington,None,1,1,"KSh 4,500,000",Apartment,Sale
Waiyaki Way,"Westlands Area, Westlands",None,2,2,"KSh 11,500,000",Apartment,Sale
Kirichwa Road,Kilimani,None,2,2,"KSh 14,500,000",Apartment,Sale
Reef Hotel,"Nyali Area, Nyali",None,3,4,"KSh 25,000,000",Apartment,Sale
kileleshwa,Kileleshwa,None,2,2,"KSh 17,000,000",Apartment,Sale
3734/240,"Oloitoktok Road, Kileleshwa",None,4,5,"KSh 30,000,000",Apartment,Sale
Gitanga Road,Lavington,None,2,2,"KSh 8,600,000",Apartment,Sale
Nyali Area,Nyali,None,2,2,"KSh 22,000,000",Apartment,Sale
Mandera Road,Kileleshwa,None,3,3,"KSh 23,000,000",Apartment,Sale
Sports Road,"Westlands Area, Westlands",None,1,1,"KSh 13,500,000",Apartment,Sale
Westlands Area,Westlands,None,2,2,"KSh 10,500,000",Apartment,Sale
Kilimani,Kilimani,None,3,3,"KSh 11,000,000",Apartment,Sale
Kilimani,Kilimani,None,2,1,"KSh 6,800,000",Apartment,Sale
Kilimani,Kilimani,None,2,2,"KSh 7,000,000",Apartment,Sale
Kilimani,Kilimani,None,1,1,"KSh 4,500,000",Apartment,Sale
Lavington,Lavington,None,4,5,"KSh 20,000,000",Apartment,Sale
Lavington,Lavington,None,4,5,"KSh 20,000,000",Apartment,Sale
Lavington,Lavington,None,2,2,"KSh 7,000,000",Apartment,Sale
Lavington,Lavington,None,3,3,"KSh 11,000,000",Apartment,Sale
Near Naivas centre,"Nyali Area, Nyali",None,2,2,"KSh 7,750,000",Apartment,Sale
Kingara Road,Lavington,64 m²,0,2,"KSh 6,430,000",Apartment,Sale
PQ9J+G3V,"Kileleshwa Nyeri Rd, Kileleshwa",None,3,4,"KSh 16,500,000",Apartment,Sale
Kingara Road,Lavington,73 m²,1,2,"KSh 7,480,000",Apartment,Sale
PQ9J+G3V,"Kileleshwa Nyeri Rd, Kileleshwa",None,2,3,"KSh 11,000,000",Apartment,Sale
PQ9J+G3V,"Nyeri Rd, Kileleshwa",None,1,2,"KSh 6,000,000",Apartment,Sale
Kingara Road,Lavington,97 m²,2,2,"KSh 9,890,000",Apartment,Sale
Gitanga Road,Lavington,45 m²,1,1,"KSh 5,000,000",Apartment,Sale
Othaya Rd,Kileleshwa,None,2,2,"KSh 9,000,000",Apartment,Sale
Riara Road,Lavington,130 m²,3,3,"KSh 14,500,000",Apartment,Sale
Riara Road,Lavington,110 m²,2,2,"KSh 11,000,000",Apartment,Sale
Lavington,Lavington,61 m²,1,1,"KSh 6,800,000",Apartment,Sale
Syokimau,Syokimau,None,2,2,"KSh 8,000,000",Apartment,Sale
Syokimau,Syokimau,None,3,3,"KSh 10,000,000",Apartment,Sale
Parklands,Westlands,260 m²,3,,"KSh 31,024,000",Apartment,Sale
Parklands,Westlands,250 m²,3,,"KSh 29,800,000",Apartment,Sale
Parklands,Westlands,233 m²,3,,"KSh 29,000,000",Apartment,Sale
Parklands,Westlands,297 m²,5,,"KSh 38,700,000",Apartment,Sale
Parklands,Westlands,343 m²,5,,"KSh 40,000,000",Apartment,Sale
0626J,"Kileleshwa Estate, Kileleshwa",2174 ft²,3,4,"KSh 21,500,000",Apartment,Sale
0626J,"Kileleshwa Estate, Kileleshwa",1305 ft²,2,2,"KSh 11,000,000",Apartment,Sale
Athi River,Athi River,None,3,2,"KSh 4,300,000",Apartment,Sale
Ruaka,Ruaka,110 m²,2,2,"KSh 8,800,000",Apartment,Sale
0626J,"Kileleshwa Estate, Kileleshwa",538 ft²,1,1,"KSh 6,000,000",Apartment,Sale
0614N,"WESTLANDS, Rhapta Road, Westlands",1600 ft²,2,2,"KSh 21,000,000",Apartment,Sale
Kindaruma road,Kilimani,None,3,3,"KSh 17,000,000",Apartment,Sale
Kileleshwa,Kileleshwa,230 m²,4,5,"KSh 22,000,000",Apartment,Sale
Westlands,Westlands Area,130 m²,3,4,"KSh 14,500,000",Apartment,Sale
Westlands Area,Westlands,None,1,1,"KSh 6,950,000",Apartment,Sale
0626J,"Kileleshwa Estate., Kileleshwa",1800 ft²,4,4,"KSh 30,000,000",Apartment,Sale
Kileleshwa,Kileleshwa,None,2,2,"KSh 7,500,000",Apartment,Sale
0626J,"Off - Rhapta Road, Westlands Area, Westlands",1800 ft²,3,2,"KSh 17,000,000",Apartment,Sale
Bamburi,Bamburi,None,10,10,"KSh 32,000,000",Apartment,Sale
Kirichwa Road,Kilimani,None,2,2,"KSh 9,700,000",Apartment,Sale
Raphta rd westland,"Westlands Area, Westlands",None,2,3,"KSh 17,500,000",Apartment,Sale
Raphta rd westland,"Westlands Area, Westlands",None,4,3,"KSh 24,000,000",Apartment,Sale
Kilimani,Kilimani,None,2,2,"KSh 12,600,000",Apartment,Sale
Westlands Area,Westlands,None,1,1,"KSh 9,120,000",Apartment,Sale
Kilimani,Kilimani,None,2,2,"KSh 8,600,000",Apartment,Sale
Kilimani,Kilimani,None,2,2,"KSh 8,600,000",Apartment,Sale
Kilimani,Kilimani,None,3,3,"KSh 13,800,000",Apartment,Sale
Mombasa Road,Mombasa Road,None,2,2,"KSh 7,500,000",Apartment,Sale
Kileleshwa,Kileleshwa,None,3,3,"KSh 16,500,000",Apartment,Sale
Kileleshwa,Kileleshwa,1540 ft²,2,2,"KSh 13,500,000",Apartment,Sale
Kileleshwa,Kileleshwa,None,3,2,"KSh 19,000,000",Apartment,Sale
Kilimani,Kilimani,None,2,1,"KSh 6,800,000",Apartment,Sale
Kileleshwa,Kileleshwa,160 m²,3,4,"KSh 15,500,000",Apartment,Sale
George Padmore Road,Kilimani,None,1,1,"KSh 7,500,000",Apartment,Sale
Ndemi Road,Kilimani,None,1,1,"KSh 6,800,000",Apartment,Sale
Lavington,Lavington,None,0,1,"KSh 5,000,000",Apartment,Sale
Westlands Area,Westlands,None,2,2,"KSh 15,000,000",Apartment,Sale
Westlands Area,Westlands,57 m²,1,1,"KSh 9,000,000",Apartment,Sale
Muthangari drive,"Westlands Area, Westlands",None,2,2,"KSh 16,000,000",Apartment,Sale
General Mathenge,"Westlands Area, Westlands",1700 ft²,2,2,"KSh 22,000,000",Apartment,Sale
Nyeri Road,Kileleshwa,None,2,2,"KSh 10,800,000",Apartment,Sale
Kirichwa Road,Kilimani,87 m²,2,None,"KSh 8,600,000",Apartment,Sale
Kilimani,Kilimani,None,5,5,"KSh 45,000,000",Apartment,Sale
Kilimani,Kilimani,None,3,3,"KSh 12,000,000",Apartment,Sale
Sports Road,"Westlands Area, Westlands",None,3,3,"KSh 30,000,000",Apartment,Sale
Kilimani,Kilimani,None,2,3,"KSh 8,300,000",Apartment,Sale
Westlands Area,Westlands,None,4,3,"KSh 24,000,000",Apartment,Sale
Kilimani,Kilimani,70 m²,1,1,"KSh 8,500,000",Apartment,Sale
Westlands Area,Westlands,None,3,3,"KSh 11,500,000",Apartment,Sale
Westlands Area,Westlands,None,2,2,"KSh 9,000,000",Apartment,Sale
Kilimani,Kilimani,130 m²,3,,"KSh 15,500,000",Apartment,Sale
Kilimani,Kilimani,102 m²,2,,"KSh 12,000,000",Apartment,Sale
Kileleshwa,Kileleshwa,None,4,5,"KSh 20,000,000",Apartment,Sale
Kilimani,Kilimani,70 m²,1,1,"KSh 7,900,000",Apartment,Sale
Kilimani,Kilimani,55 m²,1,1,"KSh 6,400,000",Apartment,Sale
Parklands,Westlands,None,2,2,"KSh 10,000,000",Apartment,Sale
Kileleshwa,Kileleshwa,None,2,2,"KSh 9,800,000",Apartment,Sale
Kilimani,Kilimani,100 m²,2,1,"KSh 10,900,000",Apartment,Sale
Ole Shapara,South C,None,2,1,"KSh 8,900,000",Apartment,Sale
Kilimani,Kilimani,85 m²,2,1,"KSh 9,300,000",Apartment,Sale
Westlands rd,"Westlands Area, Westlands",None,2,2,"KSh 8,000,000",Apartment,Sale
Kilimani,Kilimani,80 m²,2,,"KSh 8,800,000",Apartment,Sale
Lavington,Lavington,84 m²,2,1,"KSh 8,800,000",Apartment,Sale
Westlands Area,Westlands,None,1,1,"KSh 5,500,000",Apartment,Sale
Lavington,Lavington,90 m²,2,1,"KSh 9,000,000",Apartment,Sale
Kilimani,Kilimani,None,4,4,"KSh 13,000,000",Apartment,Sale
Lavington,Lavington,61 m²,1,1,"KSh 6,800,000",Apartment,Sale
Nyeri road,Kileleshwa,None,1,1,"KSh 6,500,000",Apartment,Sale
Kilimani,Kilimani,None,3,3,"KSh 11,000,000",Apartment,Sale
Kilimani,Kilimani,None,4,4,"KSh 13,000,000",Apartment,Sale
Kilimani,Kilimani,None,3,,"KSh 16,000,000",Apartment,Sale
Kileleshwa,Kileleshwa,None,3,,"KSh 18,000,000",Apartment,Sale
Ruaka,Ruaka,150 m²,3,3,"KSh 11,500,000",Apartment,Sale
Kilimani,Kilimani,None,3,,"KSh 22,000,000",Apartment,Sale
Ruaka,Ruaka,102 m²,2,2,"KSh 8,200,000",Apartment,Sale
Ruaka,Ruaka,None,0,1,"KSh 3,500,000",Apartment,Sale
Westlands Area,Westlands,90 m²,2,1,"KSh 12,600,000",Apartment,Sale
Ruaka,Ruaka,43 m²,0,1,"KSh 3,500,000",Apartment,Sale
Kitengela,Kitengela,None,3,3,"KSh 4,300,000",Apartment,Sale
Kilimani,Kilimani,None,1,1,"KSh 4,400,000",Apartment,Sale
Kileleshwa,Kileleshwa,None,2,2,"KSh 7,500,000",Apartment,Sale
Kilimani,Kilimani,112 m²,2,2,"KSh 12,000,000",Apartment,Sale
Westlands Area,Westlands,99 m²,2,2,"KSh 13,000,000",Apartment,Sale
Westlands Area,Westlands,57 m²,1,1,"KSh 9,300,000",Apartment,Sale
Padmore Road,Kilimani,None,2,2,"KSh 11,900,000",Apartment,Sale
Westlands Area,Westlands,95 m²,2,2,"KSh 15,000,000",Apartment,Sale
Kileleshwa,Kileleshwa,None,4,5,"KSh 20,000,000",Apartment,Sale
Lavington,Lavington,None,4,5,"KSh 20,000,000",Apartment,Sale
Road,"Mvuli, Westlands Area, Westlands",None,2,2,"KSh 12,700,000",Apartment,Sale
Menelik road,Kilimani,None,1,1,"KSh 5,500,000",Apartment,Sale
Road,"Westland, Westlands Area, Westlands",57 m²,1,1,"KSh 9,120,000",Apartment,Sale
Westland,"Westlands Area, Westlands",None,2,2,"KSh 13,900,000",Apartment,Sale
Raptor road,"Westlands Area, Westlands",None,1,1,"KSh 7,800,000",Apartment,Sale
Road,"Valley, Kilimani",None,1,1,"KSh 6,000,000",Apartment,Sale
Road,"Kindaruma, Kilimani",None,1,1,"KSh 6,000,000",Apartment,Sale
Nyali Area,Nyali,None,3,3,"KSh 35,000,000",Apartment,Sale
Raphta rd westland,"Westlands Area, Westlands",None,3,3,"KSh 26,000,000",Apartment,Sale
Lavington,Lavington,None,4,4,"KSh 28,000,000",Apartment,Sale
kilimani,Kilimani,272 m²,4,4,"KSh 20,000,000",Apartment,Sale
Embakasi,Embakasi,None,3,2,"KSh 7,300,000",Apartment,Sale
Kileleshwa,Kileleshwa,None,4,4,"KSh 26,000,000",Apartment,Sale
Westlands Area,Westlands,None,2,2,"KSh 10,000,000",Apartment,Sale
Kilimani,Kilimani,None,4,4,"KSh 13,000,000",Apartment,Sale
Kileleshwa,Kileleshwa,None,4,5,"KSh 20,000,000",Apartment,Sale
Kileleshwa,Kileleshwa,None,3,3,"KSh 11,000,000",Apartment,Sale
Kileleshwa,Kileleshwa,None,1,1,"KSh 4,800,000",Apartment,Sale
Kileleshwa,Kileleshwa,None,2,2,"KSh 7,500,000",Apartment,Sale
Westlands Area,Westlands,None,1,1,"KSh 7,000,000",Apartment,Sale
Rhapta Road,Westlands,None,2,3,"KSh 14,800,000",Apartment,Sale
Rhapta Road,Westlands,None,2,2,"KSh 12,500,000",Apartment,Sale
Rhapta Road,Westlands,None,1,1,"KSh 7,800,000",Apartment,Sale
church road,"Westlands Area, Westlands",95 m²,2,2,"KSh 10,000,000",Apartment,Sale
church road,"Westlands Area, Westlands",60 m²,1,1,"KSh 6,500,000",Apartment,Sale
Kileleshwa,Kileleshwa,None,1,1,"KSh 4,800,000",Apartment,Sale
Kilimani,Kilimani,100 m²,2,2,"KSh 9,000,000",Apartment,Sale
Thika Rd,Thika Road,96 m²,2,3,"KSh 15,000,000",Apartment,Sale
Fourways,Ridgeways,None,3,2,"KSh 13,800,000",Apartment,Sale
Parklands,Westlands,None,6,6,"KSh 36,400,000",Apartment,Sale
Kilimani,Kilimani,73 m²,1,1,"KSh 6,680,000",Apartment,Sale
Parklands,Westlands,None,4,4,"KSh 19,500,000",Apartment,Sale
Kilimani,Kilimani,63 m²,1,1,"KSh 5,730,000",Apartment,Sale
Parklands,Westlands,None,3,3,"KSh 16,200,000",Apartment,Sale
Kilimani,Kilimani,48 m²,0,1,"KSh 4,430,000",Apartment,Sale
Parklands,Westlands,None,2,2,"KSh 14,300,000",Apartment,Sale
Kilimani,Kilimani,44 m²,0,1,"KSh 4,000,000",Apartment,Sale
Kileleshwa,Kileleshwa,968 ft²,2,2,"KSh 9,000,000",Apartment,Sale
Kileleshwa,Kileleshwa,645 ft²,1,2,"KSh 7,300,000",Apartment,Sale
Kilimani,Kilimani,2873 ft²,4,3,"KSh 20,000,000",Apartment,Sale
0621j,"Kingara Road, Kilimani",691 ft²,1,1,"KSh 5,800,000",Apartment,Sale
0621J,"Brookside Estate, Brookside, Westlands",1650 ft²,2,2,"KSh 22,000,000",Apartment,Sale
Ruaka,Ruaka,115 m²,3,4,"KSh 7,500,000",Apartment,Sale
Ruaka,Ruaka,89 m²,2,3,"KSh 6,500,000",Apartment,Sale
Ruaka,Ruaka,113 m²,3,4,"KSh 9,000,000",Apartment,Sale
Ruaka,Ruaka,90 m²,2,3,"KSh 7,500,000",Apartment,Sale
Westlands Area,Westlands,None,1,1,"KSh 6,000,000",Apartment,Sale
Kileleshwa,Kileleshwa,None,4,5,"KSh 20,000,000",Apartment,Sale
Kilimani,Kilimani,None,2,2,"KSh 7,000,000",Apartment,Sale
Kilimani,Kilimani,None,4,4,"KSh 13,000,000",Apartment,Sale
Kilimani,Kilimani,None,2,2,"KSh 6,800,000",Apartment,Sale
kileleshwa,Kileleshwa,130 m²,3,3,"KSh 11,800,000",Apartment,Sale
General Mathenge,Westlands,None,4,4,"KSh 49,900,000",Apartment,Sale
Naivasha Road,Naivasha Road,None,0,None,"KSh 2,900,000",Apartment,Sale
Sports Road,"Westlands Area, Westlands",None,0,1,"KSh 7,700,000",Apartment,Sale
Parklands,Westlands,None,5,5,"KSh 33,000,000",Apartment,Sale
Nyali,"Mombasa CBD, Mombasa Island",114 m²,2,2,"KSh 7,750,000",Apartment,Sale
Kilimani,Kilimani,341 ft²,0,1,"KSh 6,690,000",Apartment,Sale
Two Rivers Mall,"Rosslyn, Westlands",613 ft²,1,,"KSh 9,700,000",Apartment,Sale
Westlands Area,Westlands,None,3,3,"KSh 16,000,000",Apartment,Sale
ICIPE ROAD,"ICIPE Road, Kasarani",None,1,,"KSh 40,000,000",Apartment,Sale
Kindaruma road,Kilimani,None,3,4,"KSh 10,500,000",Apartment,Sale
Two Rivers Mall,"Rosslyn, Westlands",516 ft²,1,,"KSh 6,500,000",Apartment,Sale
Westlands road,"Westlands Area, Westlands",None,2,2,"KSh 14,500,000",Apartment,Sale
Kilimani,Kilimani,None,2,2,"KSh 11,800,000",Apartment,Sale
Westlands Area,Westlands,753 ft²,1,2,"KSh 13,000,000",Apartment,Sale
Westlands Area,Westlands,1097 ft²,1,,"KSh 19,000,000",Apartment,Sale
KILIMANI,Kilimani,272 m²,4,4,"KSh 20,000,000",Apartment,Sale
Westlands Area,Westlands,629 ft²,1,,"KSh 14,500,000",Apartment,Sale
Westlands Area,Westlands,None,0,1,"KSh 6,800,000",Apartment,Sale
Westlands road,"Westlands Area, Westlands",56 m²,1,1,"KSh 9,000,000",Apartment,Sale
Lavington,Lavington,None,3,3,"KSh 11,000,000",Apartment,Sale
Lavington,Lavington,1937 ft²,3,,"KSh 18,832,667",Apartment,Sale
Imara Daima,Sunrise Park,None,2,2,"KSh 7,000,000",Apartment,Sale
GTC,"Westlands Area, Westlands",100 m²,2,2,"KSh 9,500,000",Apartment,Sale
Lavington,Lavington,None,1,1,"KSh 6,000,000",Apartment,Sale
Lavington,Lavington,None,1,1,"KSh 4,500,000",Apartment,Sale
Lavington,Lavington,None,1,1,"KSh 4,500,000",Apartment,Sale
GTC,"Westlands Area, Westlands",90 m²,2,2,"KSh 11,500,000",Apartment,Sale
ABC,"Westlands Area, Westlands",56 m²,1,1,"KSh 6,900,000",Apartment,Sale
Kileleshwa,Kileleshwa,559 ft²,1,,"KSh 11,500,000",Apartment,Sale
KILELESHWA,Kileleshwa,130 m²,2,2,"KSh 11,800,000",Apartment,Sale
Westlands Area,Westlands,None,2,2,"KSh 9,000,000",Apartment,Sale
Westlands Area,Westlands,None,2,2,"KSh 10,500,000",Apartment,Sale
Westlands Area,Westlands,None,1,1,"KSh 5,500,000",Apartment,Sale
Westlands Area,Westlands,None,1,1,"KSh 6,000,000",Apartment,Sale
Kilimani,Kilimani,None,3,3,"KSh 11,000,000",Apartment,Sale
Kilimani,Kilimani,None,3,3,"KSh 11,000,000",Apartment,Sale
Kileleshwa,Kileleshwa,None,3,3,"KSh 11,000,000",Apartment,Sale
Kileleshwa,Kileleshwa,None,3,3,"KSh 11,000,000",Apartment,Sale
Lavington,Lavington,None,1,1,"KSh 4,500,000",Apartment,Sale
nyali,"Nyali Area, Nyali",110 m²,2,2,"KSh 7,750,000",Apartment,Sale
Othaya Rd,Kileleshwa,None,2,2,"KSh 11,500,000",Apartment,Sale
Kileleshwa,Kileleshwa,None,1,1,"KSh 5,500,000",Apartment,Sale
Syokimau,Mombasa Road,None,3,4,"KSh 7,000,000",Apartment,Sale
SYOKIMAU,Mombasa Road,None,2,2,"KSh 6,000,000",Apartment,Sale
0619n,Kileleshwa,1650 ft²,2,2,"KSh 12,500,000",Apartment,Sale
Hatheru Road,Lavington,None,4,4,"KSh 25,000,000",Apartment,Sale
Westlands Area,Westlands,None,2,2,"KSh 10,520,000",Apartment,Sale
Hatheru Road,Lavington,None,3,3,"KSh 22,000,000",Apartment,Sale
Westlands Area,Westlands,None,1,2,"KSh 9,200,000",Apartment,Sale
Kileleshwa,Kileleshwa,None,3,3,"KSh 38,000,000",Apartment,Sale
South C,South C,None,2,2,"KSh 55,000,000",Apartment,Sale
Mbanya Drive,Ruaka,83 m²,2,2,"KSh 6,500,000",Apartment,Sale
Hatheru Road,Lavington,None,3,3,"KSh 22,000,000",Apartment,Sale
Westlands Rd,"Westlands Area, Westlands",None,1,1,"KSh 8,600,000",Apartment,Sale
Westlands Area,Westlands,None,2,2,"KSh 15,000,000",Apartment,Sale
Westlands Area,Westlands,None,2,1,"KSh 13,600,000",Apartment,Sale
Westlands Area,Westlands,None,2,2,"KSh 11,900,000",Apartment,Sale
Westlands Area,Westlands,None,1,1,"KSh 7,500,000",Apartment,Sale
Rhapta Road,Westlands,None,0,1,"KSh 6,000,000",Apartment,Sale
Parklands,Westlands,None,3,,"KSh 18,000,000",Apartment,Sale
Kilimani,Kilimani,None,2,2,"KSh 12,400,000",Apartment,Sale
Nyeri Road,Kileleshwa,None,3,3,"KSh 16,500,000",Apartment,Sale
Menelik Road,Kilimani,None,2,2,"KSh 9,700,000",Apartment,Sale
muthangari road,Lavington,None,3,3,"KSh 21,000,000",Apartment,Sale
Lavington,Lavington,None,2,2,"KSh 9,500,000",Apartment,Sale
Lavington,Lavington,None,1,1,"KSh 6,000,000",Apartment,Sale
Kileleshwa,Kileleshwa,367 m²,5,6,"KSh 41,000,000",Apartment,Sale
Kilimani,Kilimani,None,4,4,"KSh 14,600,000",Apartment,Sale
Naivasha Road,Naivasha Road,55 m²,2,1,"KSh 5,640,000",Apartment,Sale
Naivasha Road,Naivasha Road,23 m²,0,1,"KSh 2,300,000",Apartment,Sale
Naivasha Road,Naivasha Road,40 m²,1,1,"KSh 4,000,000",Apartment,Sale
LAVINGTON,Lavington,70 m²,1,1,"KSh 6,000,000",Apartment,Sale
kilimani,Kilimani,70 m²,1,1,"KSh 6,000,000",Apartment,Sale
Naivasha Road,Naivasha Road,46 m²,1,1,"KSh 4,470,000",Apartment,Sale
Voyager hotel,"Nyali Area, Nyali",None,2,3,"KSh 18,000,000",Apartment,Sale
Othaya Road,Kileleshwa,None,4,4,"KSh 24,500,000",Apartment,Sale
Road,"Mvuli, Westlands Area, Westlands",None,1,1,"KSh 7,600,000",Apartment,Sale
Road,"Menelik road, Kilimani",None,1,1,"KSh 5,500,000",Apartment,Sale
Ngong,Ngong,None,3,3,"KSh 6,000,000",Apartment,Sale
Ngong Road,Ngong Road,None,2,2,"KSh 5,000,000",Apartment,Sale
Ngong Road,Ngong Road,None,1,1,"KSh 3,000,000",Apartment,Sale
Westlands Area,Westlands,None,3,,"KSh 26,000,000",Apartment,Sale
Mandera Road,Kileleshwa,204 m²,3,3,"KSh 23,000,000",Apartment,Sale
Sports road,"Westlands Area, Westlands",70 m²,1,1,"KSh 12,740,000",Apartment,Sale
Bamburi,Bamburi,None,2,2,"KSh 23,000,000",Apartment,Sale
Ukunda,Ukunda,None,2,2,"KSh 12,000,000",Apartment,Sale
Westlands Area,Westlands,None,2,2,"KSh 14,500,000",Apartment,Sale
Westlands Area,Westlands,None,1,1,"KSh 9,000,000",Apartment,Sale
Kilimani,Kilimani,None,3,3,"KSh 11,000,000",Apartment,Sale
Kilimani,Kilimani,None,1,1,"KSh 4,400,000",Apartment,Sale
Bamburi,Bamburi,None,1,,"KSh 50,000,000",Apartment,Sale
Nyali Area,Nyali,None,2,2,"KSh 7,500,000",Apartment,Sale
Kileleshwa,Kileleshwa,None,3,3,"KSh 11,000,000",Apartment,Sale
Lavington,Lavington,None,3,3,"KSh 11,000,000",Apartment,Sale
